日付,出航予定時刻,出航場所,着予定時刻,着場所,運航状況,欠航理由,便名,検知時刻,風速_ms,波高_m,視界_km,気温_c,備考,timestamp,route,scheduled_departure,actual_departure,cancelled,wind_speed,wave_height,visibility,temperature
2025-08-31,15:30,香深,16:15,鴛泊,欠航,High Waves,香深-鴛泊2,2025-08-31 08:38:28,6.8,3.7,12.0,11.0,"船舶: アマポーラ宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.358406,kafuka_oshidomari,15:30,,True,6.8,3.7,12.0,11.0
2025-08-31,13:30,稚内,15:10,沓形,欠航,Bad Weather Conditions,稚内-沓形1,2025-08-31 08:38:28,18.0,3.7,7.0,7.5,"船舶: 季節船, データ生成日: 2025-08-31",2025-08-31T08:38:28.358423,wakkanai_kutsugata,13:30,,True,18.0,3.7,7.0,7.5
2025-08-31,15:40,沓形,17:20,稚内,運航,,沓形-稚内1,2025-08-31 08:38:28,18.5,1.2,8.2,5.6,"船舶: 季節船, データ生成日: 2025-08-31",2025-08-31T08:38:28.358447,kutsugata_wakkanai,15:40,15:43,False,18.5,1.2,8.2,5.6
2025-08-30,07:15,稚内,08:55,鴛泊,運航,,稚内-鴛泊1,2025-08-31 08:38:28,12.8,1.2,14.9,9.0,"船舶: アマポーラ宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.659257,wakkanai_oshidomari_outbound,07:15,07:22,False,12.8,1.2,14.9,9.0
2025-08-30,11:15,稚内,12:55,鴛泊,運航,,稚内-鴛泊2,2025-08-31 08:38:28,4.3,0.6,12.2,23.4,"船舶: サイプリア宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.659314,wakkanai_oshidomari_outbound,11:15,11:26,False,4.3,0.6,12.2,23.4
2025-08-30,16:40,稚内,18:20,鴛泊,運航,,稚内-鴛泊3,2025-08-31 08:38:28,17.3,0.9,14.6,8.6,"船舶: サイプリア宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.659352,wakkanai_oshidomari_outbound,16:40,16:42,False,17.3,0.9,14.6,8.6
2025-08-30,08:25,鴛泊,10:05,稚内,欠航,Bad Weather Conditions,鴛泊-稚内1,2025-08-31 08:38:28,15.3,3.4,12.1,18.1,"船舶: ボレアース宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.659380,oshidomari_wakkanai_inbound,08:25,,True,15.3,3.4,12.1,18.1
2025-08-30,12:05,鴛泊,13:45,稚内,運航,,鴛泊-稚内2,2025-08-31 08:38:28,10.7,1.4,10.4,5.6,"船舶: アマポーラ宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.659413,oshidomari_wakkanai_inbound,12:05,12:09,False,10.7,1.4,10.4,5.6
2025-08-30,16:40,鴛泊,18:20,稚内,運航,,鴛泊-稚内3,2025-08-31 08:38:28,19.0,0.8,2.0,22.7,"船舶: ボレアース宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.659446,oshidomari_wakkanai_inbound,16:40,16:52,False,19.0,0.8,2.0,22.7
2025-08-30,06:30,稚内,08:25,香深,運航,,稚内-香深1,2025-08-31 08:38:28,17.8,2.4,14.4,8.1,"船舶: サイプリア宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.659472,wakkanai_kafuka_outbound,06:30,06:36,False,17.8,2.4,14.4,8.1
2025-08-30,10:30,稚内,12:25,香深,欠航,High Waves,稚内-香深2,2025-08-31 08:38:28,12.8,3.6,11.4,15.0,"船舶: ボレアース宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.659494,wakkanai_kafuka_outbound,10:30,,True,12.8,3.6,11.4,15.0
2025-08-30,14:50,稚内,16:45,香深,運航,,稚内-香深3,2025-08-31 08:38:28,10.1,1.7,2.1,24.9,"船舶: アマポーラ宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.659524,wakkanai_kafuka_outbound,14:50,14:58,False,10.1,1.7,2.1,24.9
2025-08-30,08:55,香深,10:50,稚内,運航,,香深-稚内1,2025-08-31 08:38:28,3.8,2.1,2.0,10.8,"船舶: サイプリア宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.659551,kafuka_wakkanai_inbound,08:55,09:10,False,3.8,2.1,2.0,10.8
2025-08-30,14:20,香深,16:15,稚内,運航,,香深-稚内2,2025-08-31 08:38:28,17.5,2.2,5.6,15.0,"船舶: サイプリア宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.659578,kafuka_wakkanai_inbound,14:20,14:30,False,17.5,2.2,5.6,15.0
2025-08-30,17:10,香深,19:05,稚内,運航,,香深-稚内3,2025-08-31 08:38:28,8.5,3.3,2.4,19.7,"船舶: アマポーラ宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.659602,kafuka_wakkanai_inbound,17:10,17:17,False,8.5,3.3,2.4,19.7
2025-08-30,09:30,鴛泊,10:15,香深,運航,,鴛泊-香深1,2025-08-31 08:38:28,17.1,1.5,9.8,23.3,"船舶: アマポーラ宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.659629,oshidomari_kafuka,09:30,09:40,False,17.1,1.5,9.8,23.3
2025-08-30,13:15,鴛泊,14:00,香深,欠航,Strong Wind,鴛泊-香深2,2025-08-31 08:38:28,18.4,0.9,9.1,21.2,"船舶: サイプリア宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.659647,oshidomari_kafuka,13:15,,True,18.4,0.9,9.1,21.2
2025-08-30,10:40,香深,11:25,鴛泊,運航,,香深-鴛泊1,2025-08-31 08:38:28,4.8,2.0,10.7,20.9,"船舶: ボレアース宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.659674,kafuka_oshidomari,10:40,10:49,False,4.8,2.0,10.7,20.9
2025-08-30,15:30,香深,16:15,鴛泊,欠航,Bad Weather Conditions,香深-鴛泊2,2025-08-31 08:38:28,17.1,2.9,3.0,6.3,"船舶: アマポーラ宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.659697,kafuka_oshidomari,15:30,,True,17.1,2.9,3.0,6.3
2025-08-30,13:30,稚内,15:10,沓形,運航,,稚内-沓形1,2025-08-31 08:38:28,7.4,1.1,5.2,22.9,"船舶: 季節船, データ生成日: 2025-08-31",2025-08-31T08:38:28.659732,wakkanai_kutsugata,13:30,13:30,False,7.4,1.1,5.2,22.9
2025-08-30,15:40,沓形,17:20,稚内,運航,,沓形-稚内1,2025-08-31 08:38:28,12.2,1.9,5.5,7.5,"船舶: 季節船, データ生成日: 2025-08-31",2025-08-31T08:38:28.659761,kutsugata_wakkanai,15:40,15:52,False,12.2,1.9,5.5,7.5
2025-08-29,07:15,稚内,08:55,鴛泊,運航,,稚内-鴛泊1,2025-08-31 08:38:28,11.8,3.5,14.7,14.4,"船舶: アマポーラ宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.960108,wakkanai_oshidomari_outbound,07:15,07:29,False,11.8,3.5,14.7,14.4
2025-08-29,11:15,稚内,12:55,鴛泊,運航,,稚内-鴛泊2,2025-08-31 08:38:28,11.7,2.7,5.6,11.0,"船舶: サイプリア宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.960169,wakkanai_oshidomari_outbound,11:15,11:28,False,11.7,2.7,5.6,11.0
2025-08-29,16:40,稚内,18:20,鴛泊,運航,,稚内-鴛泊3,2025-08-31 08:38:28,6.2,2.1,3.8,6.6,"船舶: サイプリア宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.960209,wakkanai_oshidomari_outbound,16:40,16:47,False,6.2,2.1,3.8,6.6
2025-08-29,08:25,鴛泊,10:05,稚内,運航,,鴛泊-稚内1,2025-08-31 08:38:28,6.6,2.7,5.4,20.1,"船舶: ボレアース宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.960246,oshidomari_wakkanai_inbound,08:25,08:39,False,6.6,2.7,5.4,20.1
2025-08-29,12:05,鴛泊,13:45,稚内,運航,,鴛泊-稚内2,2025-08-31 08:38:28,10.8,0.6,2.3,9.9,"船舶: アマポーラ宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.960282,oshidomari_wakkanai_inbound,12:05,12:06,False,10.8,0.6,2.3,9.9
2025-08-29,16:40,鴛泊,18:20,稚内,運航,,鴛泊-稚内3,2025-08-31 08:38:28,12.4,3.4,12.1,23.7,"船舶: ボレアース宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.960322,oshidomari_wakkanai_inbound,16:40,16:55,False,12.4,3.4,12.1,23.7
2025-08-29,06:30,稚内,08:25,香深,運航,,稚内-香深1,2025-08-31 08:38:28,12.3,2.8,3.8,18.4,"船舶: サイプリア宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.960360,wakkanai_kafuka_outbound,06:30,06:32,False,12.3,2.8,3.8,18.4
2025-08-29,10:30,稚内,12:25,香深,運航,,稚内-香深2,2025-08-31 08:38:28,3.5,3.2,10.9,15.2,"船舶: ボレアース宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.960394,wakkanai_kafuka_outbound,10:30,10:32,False,3.5,3.2,10.9,15.2
2025-08-29,14:50,稚内,16:45,香深,運航,,稚内-香深3,2025-08-31 08:38:28,14.5,0.8,14.9,16.1,"船舶: アマポーラ宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.960434,wakkanai_kafuka_outbound,14:50,15:05,False,14.5,0.8,14.9,16.1
2025-08-29,08:55,香深,10:50,稚内,運航,,香深-稚内1,2025-08-31 08:38:28,8.6,3.2,11.6,23.4,"船舶: サイプリア宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.960467,kafuka_wakkanai_inbound,08:55,08:58,False,8.6,3.2,11.6,23.4
2025-08-29,14:20,香深,16:15,稚内,運航,,香深-稚内2,2025-08-31 08:38:28,3.5,2.6,7.9,22.4,"船舶: サイプリア宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.960499,kafuka_wakkanai_inbound,14:20,14:22,False,3.5,2.6,7.9,22.4
2025-08-29,17:10,香深,19:05,稚内,運航,,香深-稚内3,2025-08-31 08:38:28,3.9,0.7,7.5,5.7,"船舶: アマポーラ宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.960532,kafuka_wakkanai_inbound,17:10,17:19,False,3.9,0.7,7.5,5.7
2025-08-29,09:30,鴛泊,10:15,香深,欠航,High Waves,鴛泊-香深1,2025-08-31 08:38:28,5.9,3.6,3.4,10.8,"船舶: アマポーラ宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.960558,oshidomari_kafuka,09:30,,True,5.9,3.6,3.4,10.8
2025-08-29,13:15,鴛泊,14:00,香深,運航,,鴛泊-香深2,2025-08-31 08:38:28,4.6,2.3,13.2,5.1,"船舶: サイプリア宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.960651,oshidomari_kafuka,13:15,13:18,False,4.6,2.3,13.2,5.1
2025-08-29,10:40,香深,11:25,鴛泊,運航,,香深-鴛泊1,2025-08-31 08:38:28,3.1,1.1,12.7,16.8,"船舶: ボレアース宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.960690,kafuka_oshidomari,10:40,10:43,False,3.1,1.1,12.7,16.8
2025-08-29,15:30,香深,16:15,鴛泊,運航,,香深-鴛泊2,2025-08-31 08:38:28,12.3,2.5,11.2,7.0,"船舶: アマポーラ宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.960725,kafuka_oshidomari,15:30,15:33,False,12.3,2.5,11.2,7.0
2025-08-29,13:30,稚内,15:10,沓形,欠航,Bad Weather Conditions,稚内-沓形1,2025-08-31 08:38:28,15.5,3.6,2.6,11.0,"船舶: 季節船, データ生成日: 2025-08-31",2025-08-31T08:38:28.960749,wakkanai_kutsugata,13:30,,True,15.5,3.6,2.6,11.0
2025-08-29,15:40,沓形,17:20,稚内,運航,,沓形-稚内1,2025-08-31 08:38:28,8.6,0.9,13.7,6.0,"船舶: 季節船, データ生成日: 2025-08-31",2025-08-31T08:38:28.960785,kutsugata_wakkanai,15:40,15:42,False,8.6,0.9,13.7,6.0
2025-10-22,06:45,稚内,08:25,鴛泊,欠航,Weather Conditions,稚内-利尻,2025-10-22 06:18:28,21.8,,0.98,7.4,"船舶: フェリー</title>, データ収集日: 2025-10-22",2025-10-22T06:18:27.651773,wakkanai_oshidomari,06:45,,True,21.8,,0.98,7.4
2025-10-22,10:10,鴛泊,11:50,稚内,欠航,Weather Conditions,利尻-稚内,2025-10-22 06:18:28,21.8,,0.98,7.4,"船舶: フェリー,運航状況"", データ収集日: 2025-10-22",2025-10-22T06:18:27.651783,oshidomari_wakkanai,10:10,,True,21.8,,0.98,7.4
2025-10-22,14:30,稚内,16:10,香深,欠航,Weather Conditions,稚内-礼文,2025-10-22 06:18:28,21.8,,0.98,7.4,"船舶: フェリー"", データ収集日: 2025-10-22",2025-10-22T06:18:27.651787,wakkanai_kafuka,14:30,,True,21.8,,0.98,7.4
2025-10-22,08:55,香深,10:35,稚内,欠航,Weather Conditions,礼文-稚内,2025-10-22 06:18:28,21.8,,0.98,7.4,"船舶: フェリー"", データ収集日: 2025-10-22",2025-10-22T06:18:27.651789,kafuka_wakkanai,08:55,,True,21.8,,0.98,7.4
2025-10-22,14:35,鴛泊,16:15,香深,欠航,Weather Conditions,利尻-礼文,2025-10-22 06:18:28,21.8,,0.98,7.4,"船舶: フェリー"", データ収集日: 2025-10-22",2025-10-22T06:18:27.651791,oshidomari_kafuka,14:35,,True,21.8,,0.98,7.4
2025-10-22,16:40,香深,18:20,鴛泊,欠航,Weather Conditions,礼文-利尻,2025-10-22 06:18:28,21.8,,0.98,7.4,"船舶: フェリー</div></div>, データ収集日: 2025-10-22",2025-10-22T06:18:27.651793,kafuka_oshidomari,16:40,,True,21.8,,0.98,7.4
2025-10-22,06:30,稚内,08:25,沓形,欠航,Weather Conditions,稚内-沓形,2025-10-22 06:18:28,21.8,,0.98,7.4,"船舶: フェリー</div></div>, データ収集日: 2025-10-22",2025-10-22T06:18:27.651795,wakkanai_kutsugata,06:30,,True,21.8,,0.98,7.4
2025-10-22,10:10,沓形,13:00,稚内,欠航,Weather Conditions,沓形-稚内,2025-10-22 06:18:28,21.8,,0.98,7.4,"船舶: フェリー"", データ収集日: 2025-10-22",2025-10-22T06:18:27.651797,kutsugata_wakkanai,10:10,,True,21.8,,0.98,7.4
2025-10-22,14:45,稚内,16:40,鴛泊,欠航,Weather Conditions,稚内-利尻,2025-10-22 06:18:28,21.8,,0.98,7.4,"船舶: フェリー紹介</a></li>, データ収集日: 2025-10-22",2025-10-22T06:18:27.651799,wakkanai_oshidomari,14:45,,True,21.8,,0.98,7.4
2025-10-22,08:55,鴛泊,10:50,稚内,欠航,Weather Conditions,利尻-稚内,2025-10-22 06:18:28,21.8,,0.98,7.4,"船舶: フェリー"", データ収集日: 2025-10-22",2025-10-22T06:18:27.651800,oshidomari_wakkanai,08:55,,True,21.8,,0.98,7.4
2025-10-22,13:25,稚内,16:15,香深,欠航,Weather Conditions,稚内-礼文,2025-10-22 06:18:28,21.8,,0.98,7.4,"船舶: フェリー</span>, データ収集日: 2025-10-22",2025-10-22T06:18:27.651802,wakkanai_kafuka,13:25,,True,21.8,,0.98,7.4
2025-10-22,17:05,香深,19:00,稚内,欠航,Weather Conditions,礼文-稚内,2025-10-22 06:18:28,21.8,,0.98,7.4,"船舶: ボレアース宗谷, データ収集日: 2025-10-22",2025-10-22T06:18:27.651804,kafuka_wakkanai,17:05,,True,21.8,,0.98,7.4
2025-10-22,12:15,鴛泊,13:00,香深,欠航,Weather Conditions,利尻-礼文,2025-10-22 06:18:28,21.8,,0.98,7.4,"船舶: サイプリア宗谷, データ収集日: 2025-10-22",2025-10-22T06:18:27.651806,oshidomari_kafuka,12:15,,True,21.8,,0.98,7.4
2025-10-22,13:25,香深,14:10,鴛泊,欠航,Weather Conditions,礼文-利尻,2025-10-22 06:18:28,21.8,,0.98,7.4,"船舶: アマポーラ宗谷, データ収集日: 2025-10-22",2025-10-22T06:18:27.651808,kafuka_oshidomari,13:25,,True,21.8,,0.98,7.4
2025-10-22,13:00,稚内,15:10,沓形,欠航,Weather Conditions,稚内-沓形,2025-10-22 06:18:28,21.8,,0.98,7.4,"船舶: ボレアース宗谷, データ収集日: 2025-10-22",2025-10-22T06:18:27.651810,wakkanai_kutsugata,13:00,,True,21.8,,0.98,7.4
2025-10-22,07:00,沓形,09:10,稚内,欠航,Weather Conditions,沓形-稚内,2025-10-22 06:18:28,21.8,,0.98,7.4,"船舶: サイプリア宗谷, データ収集日: 2025-10-22",2025-10-22T06:18:27.651812,kutsugata_wakkanai,07:00,,True,21.8,,0.98,7.4
